category,topic,description,slug,python,r
basics,Getting Started,Picking a language,getting-started,true,true
basics,Installation,Setting up for data,installation,true,false
basics,The Interpreter,Talk to the computer,interpreter,false,false
basics,Scripting,Script a series of commands for the computer to run,scripting,false,false
basics,Syntax,Learning to speak in code,syntax,false,false
basics,Variables,Assigning values for later use,variables,false,false
basics,Conditionals,Do things based on certain conditions,conditionals,false,false
basics,Loops,Do things over and over,loops,true,false
basics,Functions,Writing reusable code,functions,false,false
basics,Modules,Loading libraries of functionality,modules,false,false
files_io,Arguments,Passing arguments to scripts,arguments,false,false
files_io,CSV,Working with comma-separated values,csv,false,false
files_io,NetCDF,Working with NetCDF files,netcdf,false,false
